dataset,model,strategy,target_feature,repeat,model_total_parameters,model_trainable_parameters,model_non_trainable_parameters,timing_total_training_time_ms,timing_avg_epoch_time_ms,timing_avg_batch_time_ms,timing_inference_time_ms,memory_peak_gpu_memory_mb,memory_avg_gpu_memory_mb,memory_model_memory_mb,memory_peak_cpu_memory_mb,overall_mse,overall_rmse,overall_mae,mse,rmse,mae
elec,autoformer,CD,,1,4115777,4076865,38912,1784364.2976284027,59463.16081682841,78.06414322697478,50.07086730584866,107.12548828125,107.0783428485577,15.700443267822266,23719.21484375,0.559962809085846,0.7483066320419312,0.5197829008102417,0.5812520384788513,0.762398898601532,0.5874104499816895
elec,autoformer,CI,OT,1,811649,792193,19456,416784.19184684753,20830.617880821228,95.61228993889335,71.29327456156413,36.66259765625,36.6570155430507,3.0961952209472656,7040.14453125,0.7584924101829529,0.8709146976470947,0.6820735931396484,0.7584924101829529,0.8709146976470947,0.6820735931396484
elec,dlinear,CD,,1,123270,123270,0,140974.2956161499,10843.15723639268,6.1027084133072265,0.6739395420725752,33.98095703125,33.90538651177548,0.47023773193359375,23436.734375,0.2545304000377655,0.5045100450515747,0.3611471652984619,0.30825746059417725,0.5552093982696533,0.42233121395111084
elec,dlinear,CI,OT,1,18630,18630,0,68664.29090499878,4290.614634752274,2.1102955708136926,0.514779772077288,16.95166015625,16.94867711634069,0.07106781005859375,6754.58984375,0.3607005178928375,0.6005834937095642,0.46050673723220825,0.3607005178928375,0.6005834937095642,0.46050673723220825
elec,dssrnn,CD,,1,370880,370880,0,1650317.4459934235,55008.10128847758,153.22009152743644,40.838404399592704,60.47119140625,59.32734192890443,1.414794921875,23929.6171875,0.15462549030780792,0.39322447776794434,0.2493809312582016,0.17937858402729034,0.42353108525276184,0.3099888861179352
elec,dssrnn,CI,OT,1,50624,50624,0,125998.77834320068,5249.086240927379,2.5705803524364126,0.7948410220262481,20.17822265625,20.17729126545655,0.193115234375,7251.26953125,0.23535770177841187,0.4851367771625519,0.35737377405166626,0.23535770177841187,0.4851367771625519,0.35737377405166626
elec,informer,CD,,1,329089,329089,0,1253974.7416973114,41790.67030747732,55.647967384133864,9.681989506977361,43.43212890625,43.32932871571788,1.2553749084472656,23930.26953125,0.18266379833221436,0.4273918569087982,0.2798486053943634,0.2539699077606201,0.503954291343689,0.3776021897792816
elec,informer,CI,OT,1,928129,928129,0,341145.7018852234,31011.547738855534,42.934981297325045,7.713608625458508,38.34619140625,38.344153926240665,3.5405311584472656,7250.56640625,0.2165447473526001,0.4653436839580536,0.3446909487247467,0.2165447473526001,0.4653436839580536,0.3446909487247467
elec,lightts,CD,,1,221418,221418,0,346953.3426761627,13340.413542894217,39.79078109960776,10.834989093598866,97.158203125,96.12976789961841,0.8446426391601562,23901.5234375,0.15313856303691864,0.39132922887802124,0.25268369913101196,0.19454067945480347,0.4410676658153534,0.3205060064792633
elec,lightts,CI,OT,1,40628,40628,0,67874.84788894653,5219.75223834698,6.318310501115049,1.2474854787190754,20.26416015625,20.26046035544984,0.1549835205078125,7222.01953125,0.19289572536945343,0.43919897079467773,0.3201703131198883,0.19289572536945343,0.43919897079467773,0.3201703131198883
elec,linear,CD,,1,113958,113958,0,95748.61884117126,8703.753297979181,5.533168782721033,0.2325656937389839,33.83837890625,33.737151110164696,0.43471527099609375,19446.6875,0.2547619044780731,0.5047394633293152,0.36108270287513733,0.2962767779827118,0.5443131327629089,0.41017571091651917
elec,linear,CI,OT,1,9318,9318,0,71318.39561462402,2376.339817047119,1.494233105288241,0.16862880892869903,16.49267578125,16.491514377549535,0.03554534912109375,1036.90625,0.26181843876838684,0.5116819739341736,0.3869452476501465,0.26181843876838684,0.5116819739341736,0.3869452476501465
elec,micn,CD,,1,880801,880801,0,544650.844335556,18147.583119074505,34.31191113723186,5.397645438589701,69.40869140625,68.78487170381702,3.3599891662597656,23936.9453125,0.15314742922782898,0.39134055376052856,0.24652636051177979,0.19479264318943024,0.4413532018661499,0.3243364989757538
